provinceName,province
西藏自治区,Tibet Autonomous Region
湖北省,Hubei
广东省,Guangdong
浙江省,Zhejiang
北京市,Beijing
上海市,Shanghai
湖南省,Hunan
安徽省,Anhui
重庆市,Chongqing
四川省,Sichuan
山东省,Shandong
广西壮族自治区,Guangxi Zhuang Autonomous Region
福建省,Fujian
江苏省,Jiangsu
河南省,Henan
海南省,Hainan
天津市,Tianjin
江西省,Jiangxi
陕西省,Shaanxi
贵州省,Guizhou
辽宁省,Liaoning
香港,Hong Kong Special Administrative Region
黑龙江省,Heilongjiang
澳门,Macao Special Administrative Region
新疆维吾尔自治区,Xinjiang Uygur Autonomous Region
甘肃省,Gansu province
云南省,Yunnan
台湾,Taiwan
山西省,Shanxi
吉林省,Jilin
河北省,Hebei
宁夏回族自治区,Ningxia Hui Autonomous Region
内蒙古自治区,Inner Mongolia Autonomous Region
青海省,Qinghai
